player,pos_x,age_x,team_id_x,g_x,mp_x,fg_per_poss,fga_per_poss,fg_pct_x,fg3_per_poss,fg3a_per_poss,fg3_pct_x,fg2_per_poss,fg2a_per_poss,fg2_pct_x,ft_per_poss,fta_per_poss,ft_pct_x,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,efg_pct,ft_per_g,fta_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fg_per_mp,fga_per_mp,fg3_per_mp,fg3a_per_mp,fg2_per_mp,fg2a_per_mp,ft_per_mp,fta_per_mp,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp,votes_first,points_won
Quincy Acy,PF,24.0,NYK,0.8192771084337349,0.4317343173431734,0.24603174603174605,0.40178571428571425,0.45899999999999996,0.10937499999999999,0.15243902439024393,0.3,0.21825396825396826,0.33035714285714285,0.494,0.2080536912751678,0.2684563758389262,0.784,0.18079096045197743,0.2570621468926554,0.23163841807909605,0.16666666666666666,0.12643678160919541,0.05357142857142857,0.14124293785310735,0.2380952380952381,0.3240556660039762,0.46875,0.9159663865546218,0.2686230248306998,0.50093984962406,0.18100000000000002,0.1465,0.17829457364341084,0.26762402088772846,0.23356401384083045,0.110828025477707,0.12643678160919541,0.053231939163498096,0.138,0.40364583333333337,,0.07751937984496124,0.12962962962962962,0.10365853658536586,0.1320754716981132,,-0.23958333333333331,-0.04678362573099415,-0.11654135338345864,-0.03797468354430379,0.48837209302325574,0.23404255319148937,0.22272727272727275,0.08333333333333333,0.11111111111111112,0.2127659574468085,0.21621621621621623,0.486,0.125,0.13725490196078433,0.22641509433962265,0.32673267326732675,0.29333333333333333,0.09803921568627452,0.1739130434782609,0.10344827586206896,0.20454545454545453,0.5365853658536587,0.2099644128113879,0.23888888888888887,0.3875,0.11363636363636363,0.1452991452991453,0.20555555555555557,0.31666666666666665,0.20388349514563106,0.2621359223300971,0.18333333333333335,0.25833333333333336,0.23333333333333334,0.15833333333333333,0.13333333333333333,0.049999999999999996,0.14166666666666666,0.22777777777777775,0.30833333333333335,0.0,0.0
Jordan Adams,SG,20.0,MEM,0.3614457831325301,0.08319355920831936,0.29365079365079366,0.5386904761904762,0.40700000000000003,0.328125,0.3231707317073171,0.4,0.21031746031746032,0.38095238095238093,0.41,0.19463087248322147,0.3221476510067114,0.609,0.10734463276836158,0.11299435028248588,0.11111111111111112,0.20238095238095236,0.39080459770114945,0.08928571428571429,0.1638418079096045,0.20238095238095238,0.3936381709741551,0.42857142857142855,0.8403361344537815,0.2889390519187359,0.4595864661654135,0.29100000000000004,0.1335,0.10852713178294573,0.11357702349869452,0.11072664359861593,0.1286624203821656,0.39080459770114945,0.08745247148288972,0.127,0.53125,,0.0,0.07407407407407407,0.02439024390243903,0.15303983228511528,,-0.1875,0.07017543859649122,-0.022556390977443608,0.012658227848101266,0.2144702842377261,0.1276595744680851,0.1318181818181818,0.08333333333333333,0.09876543209876544,0.0851063829787234,0.10810810810810811,0.465,0.056818181818181816,0.07843137254901962,0.05660377358490566,0.0594059405940594,0.060000000000000005,0.04901960784313726,0.2173913043478261,0.06896551724137931,0.11363636363636363,0.19512195121951223,0.11032028469750889,0.2833333333333333,0.5208333333333334,0.3409090909090909,0.3076923076923077,0.2,0.37083333333333335,0.1941747572815534,0.3203883495145631,0.10833333333333334,0.11666666666666665,0.11388888888888887,0.19166666666666665,0.3833333333333333,0.08333333333333333,0.16666666666666666,0.19444444444444445,0.37777777777777777,0.0,0.0
Steven Adams,C,21.0,OKC,0.8433734939759037,0.5940959409594095,0.24206349206349206,0.33630952380952384,0.544,0.0,0.006097560975609757,0.0,0.24206349206349206,0.3333333333333333,0.547,0.19463087248322147,0.38926174496644295,0.502,0.3163841807909604,0.2598870056497175,0.2787193973634652,0.11309523809523808,0.12643678160919541,0.14285714285714285,0.1581920903954802,0.25,0.3021868787276342,0.48214285714285715,0.8739495798319328,0.31828442437923254,0.5159774436090224,0.005,0.257,0.31524547803617564,0.251958224543081,0.27335640138408307,0.07006369426751592,0.12643678160919541,0.1444866920152091,0.168,0.37239583333333337,,0.14728682170542634,0.40740740740740744,0.25,0.23270440251572325,,-0.14583333333333334,0.10526315789473684,0.015037593984962405,0.13924050632911392,0.6537467700258398,0.32978723404255317,0.2590909090909091,0.0,0.0,0.32978723404255317,0.3081081081081081,0.544,0.17045454545454544,0.28431372549019607,0.5283018867924528,0.4554455445544554,0.5,0.08823529411764706,0.2173913043478261,0.41379310344827586,0.3181818181818181,0.7804878048780489,0.27402135231316727,0.24444444444444446,0.33749999999999997,0.0,0.0,0.24444444444444446,0.33749999999999997,0.20388349514563106,0.4077669902912621,0.3333333333333333,0.27499999999999997,0.29444444444444445,0.10833333333333334,0.13333333333333333,0.14166666666666666,0.16666666666666666,0.25,0.3027777777777778,0.0,0.0
Jeff Adrien,PF,28.0,MIN,0.20481927710843373,0.07212344850721235,0.17857142857142858,0.30952380952380953,0.43200000000000005,0.0,0.0,,0.17857142857142858,0.30952380952380953,0.43200000000000005,0.348993288590604,0.6040268456375839,0.579,0.3050847457627119,0.36158192090395486,0.3427495291902071,0.20833333333333331,0.10344827586206898,0.125,0.11864406779661017,0.28174603174603174,0.2823061630218688,0.48660714285714285,0.907563025210084,0.32054176072234764,0.46428571428571425,0.0,0.43200000000000005,0.30749354005167956,0.3864229765013055,0.3546712802768166,0.1337579617834395,0.10344827586206898,0.12547528517110265,0.129,0.37239583333333337,,0.015503875968992248,0.037037037037037035,0.02439024390243903,0.18238993710691823,,-0.28125000000000006,0.029239766081871343,-0.08270676691729323,0.0,0.3255813953488372,0.11702127659574468,0.11818181818181818,0.0,0.0,0.11702127659574468,0.14054054054054055,0.43200000000000005,0.1477272727272727,0.21568627450980396,0.2641509433962264,0.31683168316831684,0.3,0.08823529411764706,0.08695652173913045,0.1724137931034483,0.11363636363636363,0.4390243902439025,0.12455516014234874,0.17777777777777778,0.30833333333333335,0.0,0.0,0.17777777777777778,0.30833333333333335,0.3592233009708738,0.6213592233009708,0.325,0.375,0.35833333333333334,0.20833333333333334,0.11666666666666665,0.125,0.125,0.2777777777777778,0.2777777777777778,0.0,0.0
Arron Afflalo,SG,29.0,TOT,0.9397590361445783,0.8393156658839316,0.2976190476190476,0.5297619047619048,0.424,0.37499999999999994,0.4085365853658537,0.354,0.20634920634920637,0.33035714285714285,0.466,0.22818791946308722,0.2684563758389262,0.843,0.02824858757062147,0.12429378531073448,0.09416195856873823,0.15476190476190477,0.09195402298850576,0.005952380952380952,0.12994350282485875,0.1349206349206349,0.41351888667992054,0.45982142857142855,0.9327731092436975,0.24153498871331827,0.50093984962406,0.377,0.11199999999999999,0.028423772609819122,0.12663185378590078,0.09169550173010381,0.10445859872611464,0.09195402298850576,0.0076045627376425855,0.107,0.4947916666666667,,0.12403100775193798,0.18518518518518517,0.1585365853658537,0.10482180293501048,,-0.052083333333333336,-0.07602339181286549,-0.06766917293233082,0.012658227848101266,0.8294573643410853,0.5106382978723404,0.5136363636363637,0.41666666666666663,0.5308641975308642,0.351063829787234,0.38378378378378375,0.491,0.23863636363636362,0.2450980392156863,0.05660377358490566,0.2772277227722772,0.21333333333333335,0.16666666666666669,0.2173913043478261,0.034482758620689655,0.3409090909090909,0.5121951219512195,0.47330960854092524,0.30000000000000004,0.5291666666666667,0.3863636363636363,0.41025641025641024,0.20555555555555557,0.32916666666666666,0.23300970873786406,0.27184466019417475,0.03333333333333333,0.13333333333333333,0.1,0.15833333333333333,0.09999999999999999,0.008333333333333333,0.14166666666666666,0.13333333333333333,0.4138888888888889,0.0,0.0
Alexis Ajinça,C,26.0,NOP,0.8192771084337349,0.3210332103321033,0.3928571428571429,0.5386904761904762,0.55,0.0,0.0,,0.3928571428571429,0.5386904761904762,0.55,0.2953020134228188,0.36241610738255037,0.818,0.3220338983050848,0.327683615819209,0.3258003766478343,0.15476190476190477,0.13793103448275862,0.16666666666666666,0.21468926553672316,0.3293650793650794,0.48310139165009947,0.5044642857142857,0.865546218487395,0.4492099322799097,0.5592105263157894,0.0,0.1505,0.32041343669250644,0.3263707571801567,0.3235294117647059,0.10445859872611464,0.13793103448275862,0.1520912547528517,0.156,0.5494791666666667,,0.14728682170542634,0.2222222222222222,0.19512195121951223,0.3333333333333333,,-0.052083333333333336,0.03508771929824561,0.007518796992481203,0.06329113924050632,0.3643410852713178,0.2872340425531915,0.21818181818181817,0.0,0.0,0.2872340425531915,0.2594594594594595,0.55,0.13636363636363635,0.14705882352941177,0.2830188679245283,0.3069306930693069,0.30666666666666664,0.06862745098039216,0.13043478260869565,0.27586206896551724,0.22727272727272727,0.5365853658536587,0.23131672597864766,0.37777777777777777,0.5166666666666667,0.0,0.0,0.37777777777777777,0.5166666666666667,0.2912621359223301,0.3592233009708738,0.325,0.32916666666666666,0.3277777777777778,0.15,0.13333333333333333,0.15833333333333333,0.21666666666666667,0.31666666666666665,0.46388888888888885,0.0,0.0
Furkan Aldemir,PF,23.0,PHI,0.4939759036144578,0.18114726601811473,0.14682539682539683,0.21428571428571427,0.513,0.0,0.030487804878048783,0.0,0.14682539682539683,0.20238095238095236,0.5479999999999999,0.08053691275167785,0.16778523489932887,0.48100000000000004,0.4067796610169492,0.2570621468926554,0.3069679849340866,0.15476190476190477,0.18390804597701152,0.08928571428571429,0.09039548022598871,0.3531746031746032,0.1709741550695825,0.5223214285714286,0.8739495798319328,0.2708803611738149,0.4859022556390977,0.064,0.17300000000000001,0.3850129198966408,0.27023498694516973,0.3062283737024222,0.10573248407643313,0.18390804597701152,0.09125475285171102,0.159,0.22395833333333334,,0.05426356589147286,0.12962962962962962,0.08536585365853659,0.25576519916142554,,-0.28125000000000006,0.11695906432748537,-0.02631578947368421,0.02531645569620253,0.3410852713178294,0.10638297872340426,0.08636363636363636,0.0,0.01234567901234568,0.10638297872340426,0.0972972972972973,0.513,0.03409090909090909,0.06862745098039216,0.3584905660377358,0.2376237623762376,0.2866666666666667,0.06862745098039216,0.1739130434782609,0.13793103448275862,0.09090909090909091,0.5609756097560976,0.08185053380782917,0.15000000000000002,0.21666666666666667,0.0,0.02564102564102564,0.15000000000000002,0.2041666666666667,0.08737864077669903,0.17475728155339806,0.43333333333333335,0.2708333333333333,0.32499999999999996,0.15833333333333333,0.18333333333333335,0.09166666666666667,0.09166666666666667,0.35555555555555557,0.17222222222222222,0.0,0.0
Cole Aldrich,C,26.0,NYK,0.7349397590361446,0.32740691043274067,0.30952380952380953,0.4821428571428571,0.478,0.0,0.0,,0.30952380952380953,0.4821428571428571,0.478,0.18120805369127518,0.2348993288590604,0.7809999999999999,0.3050847457627119,0.36158192090395486,0.3427495291902071,0.23809523809523808,0.2298850574712644,0.20833333333333331,0.18079096045197743,0.2619047619047619,0.36182902584493043,0.4642857142857143,0.8571428571428571,0.40857787810383756,0.48214285714285715,0.0,0.1065,0.2997416020671834,0.3772845953002611,0.34602076124567477,0.1694267515923567,0.2298850574712644,0.2091254752851711,0.152,0.47656250000000006,,0.06201550387596899,0.25925925925925924,0.13414634146341467,0.2243186582809224,,-0.22916666666666669,0.18128654970760233,0.03383458646616541,0.08860759493670885,0.4134366925064599,0.2553191489361702,0.22272727272727275,0.0,0.0,0.2553191489361702,0.2648648648648649,0.478,0.09090909090909091,0.09803921568627452,0.32075471698113206,0.38613861386138615,0.36666666666666664,0.11764705882352941,0.2608695652173913,0.37931034482758624,0.22727272727272727,0.48780487804878053,0.19572953736654802,0.29444444444444445,0.46249999999999997,0.0,0.0,0.29444444444444445,0.46249999999999997,0.17475728155339806,0.23300970873786406,0.30833333333333335,0.3625,0.3472222222222222,0.2333333333333333,0.2333333333333333,0.19999999999999998,0.18333333333333335,0.25,0.3472222222222222,0.0,0.0
LaMarcus Aldridge,PF,29.0,POR,0.8554216867469879,0.842670244884267,0.5317460317460317,0.8541666666666666,0.466,0.125,0.12804878048780488,0.35200000000000004,0.5,0.7916666666666666,0.475,0.4161073825503356,0.4899328859060402,0.845,0.2033898305084746,0.3135593220338983,0.2768361581920904,0.1488095238095238,0.1149425287356322,0.08333333333333333,0.14124293785310735,0.09920634920634921,0.6699801192842944,0.48214285714285715,0.8571428571428571,0.5146726862302483,0.49624060150375937,0.07400000000000001,0.128,0.19896640826873385,0.2989556135770235,0.2681660899653979,0.11719745222929935,0.1149425287356322,0.07224334600760456,0.07200000000000001,0.7864583333333334,,0.3798449612403101,0.6851851851851851,0.524390243902439,0.34591194968553457,,0.03125,0.0,0.011278195488721804,0.1772151898734177,0.9147286821705425,0.9893617021276596,0.9045454545454544,0.1388888888888889,0.1851851851851852,0.9361702127659575,1.0,0.479,0.4886363636363636,0.5,0.4716981132075472,0.7623762376237624,0.6799999999999999,0.16666666666666669,0.30434782608695654,0.3448275862068966,0.3863636363636363,0.4390243902439025,0.8327402135231315,0.5222222222222223,0.8458333333333333,0.11363636363636363,0.12820512820512822,0.49444444444444446,0.7833333333333333,0.4271844660194175,0.5048543689320388,0.20833333333333334,0.32916666666666666,0.2888888888888889,0.15,0.11666666666666665,0.08333333333333333,0.14166666666666666,0.1,0.6611111111111111,0.0,0.005008347245409015
Lavoy Allen,C,25.0,IND,0.7590361445783133,0.358939953035894,0.2698412698412698,0.42857142857142855,0.47200000000000003,0.0,0.0,,0.2698412698412698,0.42857142857142855,0.47200000000000003,0.10738255033557047,0.15436241610738252,0.7020000000000001,0.33333333333333337,0.2711864406779661,0.2937853107344633,0.20833333333333331,0.08045977011494253,0.11904761904761904,0.10734463276836158,0.19444444444444448,0.3021868787276342,0.48660714285714285,0.8571428571428571,0.33634311512415355,0.4633458646616541,0.0,0.0785,0.330749354005168,0.26762402088772846,0.2889273356401384,0.13885350318471337,0.08045977011494253,0.11787072243346007,0.111,0.3958333333333333,,0.10077519379844961,0.2962962962962963,0.17073170731707318,0.2662473794549266,,-0.14583333333333334,0.1286549707602339,0.03007518796992481,0.10126582278481013,0.4392764857881137,0.23404255319148937,0.21363636363636365,0.0,0.0,0.23404255319148937,0.25405405405405407,0.47200000000000003,0.056818181818181816,0.06862745098039216,0.37735849056603776,0.31683168316831684,0.33999999999999997,0.11764705882352941,0.08695652173913045,0.24137931034482757,0.13636363636363635,0.39024390243902446,0.1779359430604982,0.2611111111111111,0.42083333333333334,0.0,0.0,0.2611111111111111,0.42083333333333334,0.10679611650485438,0.1553398058252427,0.3416666666666666,0.2791666666666667,0.3027777777777778,0.20833333333333334,0.08333333333333333,0.11666666666666665,0.10833333333333334,0.18888888888888888,0.29444444444444445,0.0,0.0
